battery_soc,memory_usage,t_s,T_s1,T_s2,T_d1,T_d2
0.48000000000000004,0.75,1,0.8187307530779818,0.6375639658756352,0.25,0.36787944117144233
0.48000000000000004,0.8,0,0.4965853037914095,0.6559582607547387,0.19999999999999996,0.1353352832366127
0.48000000000000004,0.8,1,0.8187307530779818,0.6559582607547387,0.19999999999999996,0.36787944117144233
0.48000000000000004,0.8500000000000001,0,0.4965853037914095,0.6727369697008783,0.15000000000000002,0.1353352832366127
0.48000000000000004,0.8500000000000001,1,0.8187307530779818,0.6727369697008783,0.15000000000000002,0.36787944117144233
0.48000000000000004,0.9,0,0.4965853037914095,0.6880834784905228,0.09999999999999998,0.1353352832366127
0.48000000000000004,0.9,1,0.8187307530779818,0.6880834784905228,0.09999999999999998,0.36787944117144233
0.48000000000000004,0.9500000000000001,0,0.4965853037914095,0.702157907446669,0.050000000000000044,0.1353352832366127
0.48000000000000004,0.9500000000000001,1,0.8187307530779818,0.702157907446669,0.050000000000000044,0.36787944117144233
0.48000000000000004,1.0,0,0.4965853037914095,0.7150999352854969,0.0,0.1353352832366127
0.48000000000000004,1.0,1,0.8187307530779818,0.7150999352854969,0.0,0.36787944117144233
0.5,0.0,0,0.4965853037914095,0.0,1.0,0.1353352832366127
0.5,0.0,1,0.8187307530779818,0.0,1.0,0.36787944117144233
0.5,0.05,0,0.4965853037914095,0.06345103486110715,0.95,0.1353352832366127
0.5,0.05,1,0.8187307530779818,0.06345103486110715,0.95,0.36787944117144233
0.5,0.1,0,0.4965853037914095,0.1256659163780024,0.9,0.1353352832366127
0.5,0.1,1,0.8187307530779818,0.1256659163780024,0.9,0.36787944117144233
0.5,0.15000000000000002,0,0.4965853037914095,0.1855471581554847,0.85,0.1353352832366127
0.5,0.15000000000000002,1,0.8187307530779818,0.1855471581554847,0.85,0.36787944117144233
0.5,0.2,0,0.4965853037914095,0.24223788318168682,0.8,0.1353352832366127
0.5,0.2,1,0.8187307530779818,0.24223788318168682,0.8,0.36787944117144233
0.5,0.25,0,0.4965853037914095,0.2951672353008665,0.75,0.1353352832366127
0.5,0.25,1,0.8187307530779818,0.2951672353008665,0.75,0.36787944117144233
0.5,0.30000000000000004,0,0.4965853037914095,0.3440417392452614,0.7,0.1353352832366127
0.5,0.30000000000000004,1,0.8187307530779818,0.3440417392452614,0.7,0.36787944117144233
0.5,0.35000000000000003,0,0.4965853037914095,0.3888002244284296,0.65,0.1353352832366127
0.5,0.35000000000000003,1,0.8187307530779818,0.3888002244284296,0.65,0.36787944117144233
0.5,0.4,0,0.4965853037914095,0.4295534250454455,0.6,0.1353352832366127
0.5,0.4,1,0.8187307530779818,0.4295534250454455,0.6,0.36787944117144233
0.5,0.45,0,0.4965853037914095,0.46652458328685176,0.55,0.1353352832366127
0.5,0.45,1,0.8187307530779818,0.46652458328685176,0.55,0.36787944117144233
0.5,0.5,0,0.4965853037914095,0.5,0.5,0.1353352832366127
0.5,0.5,1,0.8187307530779818,0.5,0.5,0.36787944117144233
0.5,0.55,0,0.4965853037914095,0.5302923443767363,0.44999999999999996,0.1353352832366127
0.5,0.55,1,0.8187307530779818,0.5302923443767363,0.44999999999999996,0.36787944117144233
0.5,0.6000000000000001,0,0.4965853037914095,0.557715876752609,0.4,0.1353352832366127
0.5,0.6000000000000001,1,0.8187307530779818,0.557715876752609,0.4,0.36787944117144233
0.5,0.65,0,0.4965853037914095,0.5825711996796946,0.35,0.1353352832366127
0.5,0.65,1,0.8187307530779818,0.5825711996796946,0.35,0.36787944117144233
